date,firm,n,sd,source,FDP,GRUENE,LINKE,others,SPD,Union,AfD
2009-01-05,Forsa,1003,0.03,NA,13,10,11,6,23,37,
2009-01-06,Emnid,2324,0.02,NA,12,11,11,5,25,36,
2009-01-09,Forsa,2502,0.019,NA,13,9,11,6,25,36,
2009-01-12,Emnid,4653,0.014,NA,12,10,12,4,26,36,
2009-01-16,Forsa,2500,0.019,NA,14,9,11,6,24,36,
2009-01-19,Emnid,4193,0.014,NA,13,11,12,4,25,35,
2009-01-23,Forsa,2503,0.019,NA,16,10,12,5,22,35,
2009-01-26,Emnid,5570,0.012,NA,15,12,12,4,23,34,
2009-01-30,Forsa,2501,0.019,NA,16,11,11,5,23,34,
2009-02-02,Emnid,5120,0.013,NA,16,11,12,3,24,34,
2009-02-06,Forsa,2500,0.019,NA,18,10,11,4,23,34,
2009-02-09,Emnid,5115,0.013,NA,16,11,12,4,24,33,
2009-02-13,Forsa,2502,0.019,NA,18,10,12,4,22,34,
2009-02-16,Emnid,4666,0.014,NA,16,12,11,3,24,34,
2009-02-20,Forsa,2506,0.019,NA,18,10,11,4,23,34,
2009-02-23,Emnid,4595,0.014,NA,17,11,12,3,24,33,
2009-02-27,Forsa,2503,0.018,NA,17,11,11,4,24,33,
2009-03-02,Emnid,3675,0.015,NA,15,11,12,4,26,32,
2009-03-06,Forsa,2500,0.019,NA,17,9,11,4,25,34,
2009-03-07,Emnid,4154,0.014,NA,16,10,11,4,26,33,
2009-03-13,Forsa,2501,0.018,NA,17,10,11,5,24,33,
2009-03-16,Emnid,3679,0.015,NA,16,11,11,4,25,33,
2009-03-20,Forsa,2504,0.019,NA,16,10,11,5,24,34,
2009-03-21,Emnid,2265,0.019,NA,15,10,12,3,27,33,
2009-03-27,Forsa,2505,0.019,NA,17,10,10,4,25,34,
2009-03-30,Emnid,3199,0.016,NA,16,9,12,3,27,33,
2009-04-03,Forsa,2501,0.019,NA,16,10,10,4,24,36,
2009-04-06,Emnid,3201,0.016,NA,15,10,11,4,26,34,
2009-04-09,Forsa,2000,0.021,NA,16,10,11,4,24,35,
2009-04-11,Emnid,2749,0.018,NA,14,10,11,4,27,34,
2009-04-17,Forsa,2001,0.021,NA,16,10,11,5,23,35,
2009-04-20,Emnid,3671,0.015,NA,13,10,11,4,28,34,
2009-04-24,Forsa,2501,0.019,NA,15,9,9,6,25,36,
2009-04-27,Emnid,3179,0.017,NA,14,10,10,4,27,35,
2009-04-30,Forsa,2001,0.021,NA,16,9,10,5,25,35,
2009-05-04,Emnid,3169,0.017,NA,14,9,11,4,26,36,
2009-05-08,Forsa,2501,0.019,NA,14,9,10,5,26,36,
2009-05-11,Emnid,3207,0.016,NA,13,10,11,4,28,34,
2009-05-15,Forsa,2502,0.019,NA,14,11,10,5,24,36,
2009-05-18,Emnid,4572,0.014,NA,13,11,10,4,27,35,
2009-05-22,Forsa,2001,0.021,NA,15,11,10,5,24,35,
2009-05-25,Emnid,4113,0.014,NA,14,10,11,4,27,34,
2009-05-29,Forsa,2502,0.019,NA,15,11,10,5,24,35,
2009-06-02,Emnid,3206,0.016,NA,14,11,11,4,26,34,
2009-06-05,Forsa,2008,0.021,NA,14,11,10,5,24,36,
2009-06-09,Emnid,4133,0.015,NA,14,12,10,4,25,35,
2009-06-12,Forsa,2501,0.019,NA,15,13,11,5,21,35,
2009-06-15,Emnid,3674,0.015,NA,14,12,10,3,26,35,
2009-06-19,Forsa,2503,0.019,NA,15,12,10,5,22,36,
2009-06-22,Emnid,4142,0.015,NA,14,11,11,4,24,36,
2009-06-26,Forsa,2500,0.019,NA,15,12,11,5,21,36,
2009-06-29,Emnid,3205,0.017,NA,14,12,11,4,24,35,
2009-07-03,Forsa,2504,0.019,NA,15,13,9,5,21,37,
2009-07-06,Emnid,3235,0.017,NA,14,11,11,4,24,36,
2009-07-10,Forsa,2501,0.019,NA,14,12,10,5,23,36,
2009-07-13,Emnid,4189,0.015,NA,13,12,11,5,23,36,
2009-07-17,Forsa,2507,0.019,NA,14,12,10,5,23,36,
2009-07-20,Emnid,3245,0.017,NA,14,11,12,4,23,36,
2009-07-24,Forsa,2502,0.019,NA,13,12,9,5,23,38,
2009-07-27,Emnid,2798,0.018,NA,15,11,11,4,24,35,
2009-07-31,Forsa,2502,0.019,NA,14,13,11,5,20,37,
2009-08-03,Emnid,2340,0.019,NA,15,12,11,4,23,35,
2009-08-07,Forsa,2501,0.019,NA,13,12,11,5,21,38,
2009-08-10,Emnid,3727,0.015,NA,14,12,11,4,24,35,
2009-08-17,Forsa,2506,0.019,NA,13,12,11,5,22,37,
2009-08-17,Emnid,3737,0.015,NA,14,12,10,5,23,36,
2009-08-24,Forsa,2504,0.019,NA,13,12,10,6,22,37,
2009-08-24,Emnid,3281,0.016,NA,14,12,10,4,24,36,
2009-08-31,Forsa,2502,0.019,NA,14,12,10,6,22,36,
2009-08-31,Emnid,3195,0.017,NA,14,11,11,5,24,35,
2009-09-02,Emnid,1833,0.022,NA,14,11,11,4,26,34,
2009-09-07,Forsa,2504,0.019,NA,14,10,14,6,21,35,
2009-09-07,Emnid,3718,0.015,NA,13,12,12,4,24,35,
2009-09-11,Forsa,2506,0.019,NA,13,11,13,6,22,35,
2009-09-14,Forsa,1008,0.03,NA,12,11,10,6,24,37,
2009-09-16,Emnid,1411,0.025,NA,13,11,12,4,25,35,
2009-09-21,Forsa,2503,0.019,NA,13,11,10,5,26,35,
2009-09-24,Forsa,2001,0.021,NA,14,10,12,6,25,33,
2009-10-01,"FG Wahlen",1326,0.026,NA,14,11,13,5,22,35,
2009-10-02,Forsa,2501,0.019,NA,14,10,13,6,22,35,
2009-10-05,Emnid,2766,0.018,NA,15,11,14,6,21,33,
2009-10-09,Forsa,2504,0.019,NA,16,11,13,6,20,34,
2009-10-12,Emnid,3242,0.016,NA,15,11,14,6,20,34,
2009-10-15,"FG Wahlen",1298,0.026,NA,14,11,13,5,22,35,
2009-10-16,Forsa,2502,0.019,NA,16,10,13,6,20,35,
2009-10-19,Emnid,3235,0.016,NA,14,12,13,6,21,34,
2009-10-22,Allensbach,1834,0.022,NA,14,10.5,12,5.5,23,35,
2009-10-23,Forsa,2503,0.019,NA,15,12,12,6,20,35,
2009-10-26,Emnid,3235,0.016,NA,14,12,14,5,21,34,
2009-10-29,"FG Wahlen",1207,0.027,NA,13,11,13,5,22,36,
2009-10-30,Forsa,2503,0.019,NA,12,12,12,7,21,36,
2009-11-02,Emnid,2761,0.018,NA,14,13,13,5,22,33,
2009-11-06,Forsa,2500,0.019,NA,13,12,12,7,20,36,
2009-11-09,Emnid,3251,0.016,NA,13,13,13,6,21,34,
2009-11-13,Forsa,2500,0.019,NA,13,12,12,7,20,36,
2009-11-16,Emnid,5081,0.013,NA,12,13,13,6,22,34,
2009-11-19,Allensbach,1792,0.022,NA,14,11,11.5,5,23,35.5,
2009-11-20,Forsa,2503,0.019,NA,12,13,12,7,19,37,
2009-11-23,Emnid,4177,0.014,NA,13,12,13,5,23,34,
2009-11-26,"FG Wahlen",1253,0.026,NA,13,10,12,6,24,35,
2009-11-27,Forsa,2503,0.019,NA,12,13,11,7,20,37,
2009-11-30,Emnid,4165,0.014,NA,12,12,12,6,23,35,
2009-12-04,Forsa,2501,0.019,NA,12,13,12,7,20,36,
2009-12-07,Emnid,4611,0.014,NA,12,13,12,6,23,34,
2009-12-10,"FG Wahlen",1221,0.027,NA,12,11,11,6,25,35,
2009-12-11,Forsa,2500,0.019,NA,11,13,12,8,19,37,
2009-12-11,Allensbach,1788,0.022,NA,13.5,11,12,5,24,34.5,
2009-12-14,Emnid,3678,0.015,NA,12,13,12,6,23,34,
2009-12-18,Forsa,2500,0.019,NA,12,13,11,8,21,35,
2009-12-21,Emnid,3707,0.015,NA,12,12,12,6,24,34,
2009-12-22,Forsa,1004,0.03,NA,12,12,12,7,22,35,
2010-01-08,Forsa,2501,0.019,NA,10,14,11,8,22,35,
2010-01-11,Emnid,4220,0.014,NA,12,13,12,6,23,34,
2010-01-14,"FG Wahlen",1256,0.027,NA,11,12,11,5,25,36,
2010-01-15,Forsa,2500,0.019,NA,11,15,11,7,21,35,
2010-01-18,Emnid,4219,0.014,NA,11,13,11,6,24,35,
2010-01-21,Allensbach,1849,0.022,NA,13,11.5,11,5,25,34.5,
2010-01-22,Forsa,2502,0.019,NA,9,16,11,7,21,36,
2010-01-25,Emnid,3280,0.016,NA,10,13,12,6,24,35,
2010-01-28,"FG Wahlen",1256,0.027,NA,10,12,10,5,26,37,
2010-01-29,Forsa,2505,0.019,NA,9,16,11,6,22,36,
2010-02-01,Emnid,3256,0.016,NA,10,12,11,6,25,36,
2010-02-05,Forsa,2501,0.019,NA,8,17,11,8,22,34,
2010-02-06,Emnid,3258,0.016,NA,9,14,11,5,25,36,
2010-02-12,Forsa,2503,0.019,NA,7,17,12,7,22,35,
2010-02-15,Emnid,2327,0.019,NA,9,15,12,5,24,35,
2010-02-19,Forsa,2500,0.019,NA,8,16,12,7,22,35,
2010-02-19,Allensbach,1816,0.022,NA,10.5,13.5,10.5,5,23.5,37,
2010-02-22,Emnid,3260,0.016,NA,10,14,12,5,25,34,
2010-02-25,"FG Wahlen",1324,0.026,NA,10,14,10,5,25,36,
2010-02-26,Forsa,2503,0.019,NA,9,16,11,7,22,35,
2010-03-01,Emnid,3247,0.016,NA,10,15,12,5,24,34,
2010-03-05,Forsa,2502,0.018,NA,8,16,12,8,23,33,
2010-03-08,Emnid,4197,0.014,NA,10,14,12,5,25,34,
2010-03-11,"FG Wahlen",1204,0.027,NA,10,14,10,5,25,36,
2010-03-12,Forsa,2501,0.019,NA,8,16,11,8,23,34,
2010-03-15,Emnid,3735,0.015,NA,9,15,11,6,24,35,
2010-03-17,Allensbach,1812,0.022,NA,9,13,11,5.5,25.5,36,
2010-03-19,Forsa,2502,0.018,NA,8,15,12,8,25,32,
2010-03-22,Emnid,3256,0.016,NA,9,14,11,6,25,35,
2010-03-25,"FG Wahlen",1260,0.027,NA,9,13,11,4,26,37,
2010-03-26,Forsa,2501,0.019,NA,7,14,12,8,25,34,
2010-03-29,Emnid,3713,0.015,NA,9,14,12,5,25,35,
2010-04-01,Forsa,2002,0.021,NA,7,15,12,8,24,34,
2010-04-06,Emnid,2315,0.019,NA,9,14,12,5,26,34,
2010-04-09,Forsa,2001,0.021,NA,8,15,11,7,23,36,
2010-04-12,Emnid,2807,0.018,NA,8,15,12,5,25,35,
2010-04-16,Forsa,2501,0.019,NA,8,15,10,7,24,36,
2010-04-19,Emnid,4164,0.014,NA,9,14,11,6,25,35,
2010-04-22,"FG Wahlen",1203,0.027,NA,8,13,10,5,26,38,
2010-04-23,Forsa,2500,0.019,NA,8,14,11,7,24,36,
2010-04-23,Allensbach,1833,0.022,NA,9,13.5,9.5,5.5,27.5,35,
2010-04-26,Emnid,3226,0.017,NA,9,15,10,5,25,36,
2010-04-30,Forsa,2501,0.019,NA,8,16,10,7,25,34,
2010-05-03,Emnid,2752,0.018,NA,9,16,10,5,26,34,
2010-05-07,Forsa,2503,0.019,NA,7,15,12,7,24,35,
2010-05-10,Emnid,3218,0.016,NA,8,15,11,6,26,34,
2010-05-14,Forsa,2001,0.02,NA,6,16,11,8,27,32,
2010-05-17,Emnid,2787,0.017,NA,8,15,12,6,28,31,
2010-05-20,"FG Wahlen",1260,0.027,NA,6,14,11,6,27,36,
2010-05-20,Allensbach,1827,0.021,NA,8.5,14.5,10,6.5,28.5,32,
2010-05-21,Forsa,2504,0.018,NA,7,16,12,7,26,32,
2010-05-22,Emnid,2295,0.019,NA,8,16,12,5,28,31,
2010-05-28,Forsa,2003,0.02,NA,7,16,13,8,26,30,
2010-05-31,Emnid,3260,0.016,NA,7,16,13,6,27,31,
2010-06-02,"FG Wahlen",1271,0.026,NA,6,15,10,6,29,34,
2010-06-04,Forsa,2501,0.018,NA,5,18,12,7,26,32,
2010-06-07,Emnid,2776,0.017,NA,7,15,13,6,27,32,
2010-06-11,Forsa,2501,0.018,NA,6,18,11,8,26,31,
2010-06-12,Emnid,2318,0.019,NA,6,15,12,7,29,31,
